Words,X,Y,Group,Value,Model
covid-19,-6.799007,10.320877,0,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
sars-cov-2,-6.795607,10.320359,0,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
endometriosis,0.24142061,2.1564429,0,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
patients,-6.790083,10.319744,0,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
disease,-6.807424,10.321801,0,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
mis-c,11.619464,3.2164886,1,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
children,11.299595,2.253047,1,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
syndrome,-8.772281,9.664303,1,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
clinical,2.4306097,4.457398,1,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
infection,2.419364,4.327148,1,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
severe,-8.774197,9.663933,2,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
coronavirus,-6.8470087,10.306394,2,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
inflammatory,11.234982,2.2702758,2,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
testing,2.4289892,4.405874,2,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
respiratory,-8.771625,9.662104,2,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
may,4.0978603,-11.117201,3,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
vaccine,5.526052,-2.645955,3,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
acute,-8.773866,9.663362,3,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
pandemic,-6.8470407,10.305035,3,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
associated,12.708323,-3.6204917,3,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
treatment,8.581328,-2.699036,4,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
study,2.4365988,4.6210203,4,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
results,2.5020688,-5.9833665,4,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
cases,3.4417825,-11.020959,4,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
positive,2.4299848,4.4241686,4,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
test,2.4271815,4.6421065,5,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
diagnosis,2.4880683,4.639905,5,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
symptoms,12.030729,-3.034881,5,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
vaccines,11.403089,-0.8536159,5,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
samples,2.4322784,4.327205,5,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
multisystem,11.254083,2.3001766,6,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
viral,2.8786254,-1.0774401,6,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
detection,3.5059478,6.007098,6,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
health,1.3864999,11.022813,6,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
women,-6.827372,4.408452,6,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
using,2.444028,4.5918145,7,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
pain,4.5466986,4.817552,7,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
2019,-6.8425198,10.308783,7,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
high,2.8866706,-8.4681225,7,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
virus,2.6465063,3.9208505,7,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
data,8.408243,1.0095347,8,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
also,5.1914983,-6.36043,8,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
however,3.1407485,0.09871487,8,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
including,2.7694674,4.1800675,8,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
cells,13.250185,-2.105124,8,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
used,8.481848,-3.1389313,9,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
diagnostic,9.800654,2.3620095,9,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
case,4.2528744,-6.392988,9,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
compared,4.7107325,-10.291958,9,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
rna,2.0587132,8.469996,9,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
immune,13.355345,-2.240136,10,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
among,7.044492,-7.524487,10,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
