Words,X,Y,Z,Group,Value,Model
covid-19,4.2391734,6.7262077,1.8337367,0,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
sars-cov-2,4.2375736,6.7239,1.8376832,0,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
endometriosis,2.2461104,-0.30911994,-1.1476732,0,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
patients,4.2365603,6.722842,1.8391416,0,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
disease,4.242252,6.730438,1.8265197,0,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
mis-c,-5.828765,-5.112696,5.263548,1,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
children,-7.209861,-3.833793,3.7755516,1,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
syndrome,4.998518,7.6185765,-0.35351726,1,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
clinical,-2.3919976,-0.32410753,3.0776277,1,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
infection,-2.4345088,-0.15735407,2.9462712,1,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
severe,4.999033,7.6191897,-0.3548138,2,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
coronavirus,4.254599,6.748049,1.7804325,2,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
inflammatory,-7.325302,-3.7314923,3.4764483,2,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
testing,-2.4101038,-0.25361565,3.0280378,2,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
respiratory,4.9979873,7.6179376,-0.35411796,2,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
may,0.12637475,-8.694064,-0.2544477,3,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
vaccine,0.41114408,-4.8758044,1.9706101,3,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
acute,4.9988613,7.618976,-0.35488313,3,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
pandemic,4.2546954,6.748672,1.777479,3,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
associated,-0.465059,-5.225791,7.7012763,3,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
treatment,-2.5140765,-3.44359,5.2675066,4,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
study,-2.2903748,-0.5883669,3.2729492,4,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
results,3.5175145,-3.6090117,1.8958277,4,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
cases,0.68353546,-8.064374,-0.35997432,4,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
positive,-2.402141,-0.27765977,3.0554597,4,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
test,-2.2877493,-0.60248005,3.2681131,5,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
diagnosis,-2.3344188,-0.7790548,3.3392065,5,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
symptoms,0.758463,-5.150829,7.259798,5,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
vaccines,-3.023111,-5.5520587,6.992042,5,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
samples,-2.4385347,-0.17957,2.9485118,5,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
multisystem,-7.274669,-3.7234402,3.647583,6,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
viral,6.57711,-1.8637984,0.7692468,6,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
detection,0.000478575,0.6826353,4.3985014,6,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
health,6.021839,-3.7209258,-3.245105,6,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
women,-3.8095787,2.2492108,-2.4034026,6,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
using,-2.298342,-0.5773109,3.2450824,7,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
pain,-7.0432773,-0.8852668,0.9848625,7,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
2019,4.2533774,6.746445,1.7852598,7,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
high,1.4933614,-6.1012206,-0.22639728,7,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
virus,-2.4037306,-0.60354763,3.7066476,7,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
data,0.06372912,-4.203364,4.7152014,8,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
also,-2.429086,-6.79838,0.33998314,8,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
however,6.378457,-1.2291609,0.3967772,8,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
including,-2.4240696,-0.17843774,3.5583687,8,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
cells,0.752941,-3.6061664,7.962523,8,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
used,3.1341226,-4.739923,5.173016,9,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
diagnostic,3.5610225,-1.3446116,6.792376,9,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
case,-5.1069818,-2.793926,0.98110235,9,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
compared,2.1654122,-8.024569,0.6773803,9,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
rna,4.1262536,2.6263566,3.8465526,9,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
immune,0.40822768,-3.8219774,8.151521,10,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
among,-0.8592713,-7.552132,1.6082752,10,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
expression,-0.3057257,-1.7310011,4.2348866,10,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
control,3.0691204,-0.20735401,8.319605,10,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
